Location,Temp,Date,Bins
Byron,26.83,2016-12-01,0
Bondi,20.7,2016-12-01,0
Kiama,20.7,2016-12-01,0
Ballina,18.8,2016-12-01,0
Byron,27.11,2016-12-01,1
Mollymook,20.3,2016-12-01,1
Batemans,19.6,2016-12-01,1
Byron,27.27,2016-12-01,2
Coffs,20.2,2016-12-01,2
Hawks,21.4,2016-12-01,2
Port,19.3,2016-12-01,2
Crescent,19.3,2016-12-01,2
Kingscliff,19.3,2016-12-01,2
Byron,27.29,2016-12-01,3
Redhead,21.2,2016-12-01,3
Old,20.7,2016-12-01,3
Forster,21.2,2016-12-01,3
Byron,26.95,2016-12-01,4
Bondi,20.7,2016-12-01,4
Kiama,20.6,2016-12-01,4
Ballina,18.8,2016-12-01,4
Byron,26.62,2016-12-01,5
Coffs,20.38,2016-12-01,5
Evans,20.92,2016-12-01,5
South,21.27,2016-12-01,5
Yamba,20.6,2016-12-01,5
Mollymook,20.3,2016-12-01,5
Batemans,19.6,2016-12-01,5
Byron,25.88,2016-12-01,6
Hawks,21.2,2016-12-01,6
Port,18.8,2016-12-01,6
Crescent,18.5,2016-12-01,6
Kingscliff,19.5,2016-12-01,6
Byron,25.59,2016-12-01,7
Redhead,21,2016-12-01,7
Old,20.4,2016-12-01,7
Forster,20.7,2016-12-01,7
Byron,25.29,2016-12-01,8
Coffs,19.89,2016-12-01,8
Bondi,20.6,2016-12-01,8
Ballina,18.8,2016-12-01,8
Byron,25.13,2016-12-01,9
Mollymook,20.3,2016-12-01,9
Batemans,19.6,2016-12-01,9
Byron,24.97,2016-12-01,10
Hawks,21,2016-12-01,10
Port,18.8,2016-12-01,10
Crescent,19,2016-12-01,10
Kingscliff,19.5,2016-12-01,10
Byron,24.41,2016-12-01,11
Coffs,19.83,2016-12-01,11
Evans,20.66,2016-12-01,11
South,20.95,2016-12-01,11
Yamba,19.8,2016-12-01,11
Redhead,21.2,2016-12-01,11
Old,20.6,2016-12-01,11
Forster,20.1,2016-12-01,11
Byron,24.26,2016-12-01,12
Bondi,20.7,2016-12-01,12
Sussex,20.1,2016-12-01,12
Ballina,19.3,2016-12-01,12
Byron,23.84,2016-12-01,13
Mollymook,20.4,2016-12-01,13
Batemans,20.7,2016-12-01,13
Byron,23.26,2016-12-01,14
Coffs,19.74,2016-12-01,14
Hawks,21.4,2016-12-01,14
Port,19,2016-12-01,14
Crescent,19.9,2016-12-01,14
Kingscliff,19.8,2016-12-01,14
Byron,22.98,2016-12-01,15
Redhead,21.5,2016-12-01,15
Old,20.9,2016-12-01,15
Forster,21,2016-12-01,15
Byron,22.67,2016-12-01,16
Bondi,20.9,2016-12-01,16
Kiama,20.6,2016-12-01,16
Ballina,19.3,2016-12-01,16
Byron,23.25,2016-12-01,17
Coffs,19.64,2016-12-01,17
Evans,20.35,2016-12-01,17
South,20.47,2016-12-01,17
Yamba,19.75,2016-12-01,17
Mollymook,21.4,2016-12-01,17
